health science,creative expression,technology,people,organization,influence,nature,things
1.916666667,2.285714286,3.5625,2.5,2.3,1.375,2.333333333,2.875
4.666666667,4.178571429,4.375,3.95,3.85,3.71875,4.833333333,3.458333333
1.916666667,3.535714286,2.9375,2.75,3.55,2.75,2,2.541666667
4.333333333,3.785714286,4.0625,4,3.7,4.125,4,3.666666667
4.416666667,4.392857143,4.125,3.8,3.55,3.59375,4.333333333,2.916666667
2.083333333,3.821428571,2.625,2.95,1.85,3.5625,2,2.125
4.833333333,4.25,2.9375,4.6,4.35,4.21875,5,2.791666667
3.333333333,2.428571429,4,3.6,3.5,2.75,3.5,3.333333333
4.166666667,3.607142857,4.25,4.05,3.85,3.71875,4.416666667,3.583333333
2.75,2.214285714,3.875,3.15,1.6,3,2.666666667,2.333333333
2.75,1.357142857,2.375,3.3,2.7,2.15625,2.833333333,1.708333333
1.5,2.357142857,2.6875,2.05,1.1,1.34375,1.083333333,2.5
3.416666667,2.071428571,3.125,3.35,3.05,2.65625,3.083333333,2.708333333
4,3.892857143,4,4.05,3.8,3.8125,4.166666667,4.125
3.833333333,4.071428571,3.9375,3.95,3.95,3.78125,3.833333333,4.166666667
2.25,1.678571429,2.8125,3,2.1,3.0625,1.916666667,1.958333333
2.5,2.428571429,4.75,3.7,2.55,2.40625,4.583333333,4.041666667
3,2.892857143,4.5,3.5,2.8,1.9375,3.583333333,2.916666667
2.333333333,2.642857143,3.375,2.95,2.75,2.75,4.083333333,2.875
3.833333333,4.321428571,3.625,4,2.2,2.1875,4.5,2.583333333
3.416666667,4,4.0625,3.95,3.75,3.75,4.166666667,4.208333333
3.583333333,4,3.5625,3.7,3.55,3.6875,3.833333333,3.875
3.666666667,3.821428571,3.0625,2.75,3.45,4.1875,4.583333333,3.5
4.083333333,4,4.125,3.85,3.7,3.875,3.75,4.083333333
4.833333333,4.928571429,4.0625,4.8,4.8,4.71875,4.833333333,4.458333333
4,4.535714286,4.125,4.3,4.6,4.46875,4.416666667,4.291666667
4.5,2.321428571,3.4375,4.6,3.55,3.15625,3,2.5
1.166666667,1.821428571,2.5,2.6,2.5,2.09375,2.583333333,2.625
